Partlist

Exported from OSHintosh v23.sch at 20/Mar/26 10:36

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                Device                       Package                      Library                 Sheet

BATT1                         BATTERY-20MM_PTH             BATTCOM_20MM_PTH             SparkFun-Batteries      1
C1       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C2       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C3       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C4       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C5       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C6       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C7       470p 50V             470P_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C8       1n 50V               1N_TH_CAP                    CAP_5.08MM_PITCH             Capacitors TH           1
C9       100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C10      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C11      220p 50V             220P_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C12      470p 50V             470P_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C13      470p 50V             470P_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C14      2u2 50V              2U2_TH_ELEC_CAPVERTICAL      CAP_ELECTROLYTIC             Capacitors TH           1
C15      1u 50V               1U_TH_ELEC_CAPVERTICAL       CAP_ELECTROLYTIC             Capacitors TH           1
C16      1n 50V               1N_TH_CAP                    CAP_5.08MM_PITCH             Capacitors TH           1
C17      1n 50V               1N_TH_CAP                    CAP_5.08MM_PITCH             Capacitors TH           1
C18      4u7 50V              4U7_TH_ELEC_CAPVERTICAL      CAP_ELECTROLYTIC             Capacitors TH           1
C19      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C20      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C21      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C22      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C23      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C24      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C25      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C26      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C27      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C28      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C29      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C30      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C31      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C32      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C33      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C34      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C35      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C36      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C37      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C38      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C39      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C40      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C41      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C42      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C43      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C44      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C45      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C46      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C47      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C48      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C49      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C50      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C51      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C52      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
C53      100n 50V             100N_TH_CAP                  CAP_5.08MM_PITCH             Capacitors TH           1
